ID,P_VALUE,Q_VALUE,PERIOD,LAG,AMPLITUDE,OFFSET,MEAN_PERIODICITY,SCATTER,TP_30_REP_1,TP_30_REP_2,TP_30_REP_3,TP_30_REP_4,TP_60_REP_1,TP_60_REP_2,TP_60_REP_3,TP_60_REP_4,TP_90_REP_1,TP_90_REP_2,TP_90_REP_3,TP_90_REP_4,TP_120_REP_1,TP_120_REP_2,TP_120_REP_3,TP_120_REP_4,name,Protein.Group,Protein.Names,Genes,First.Protein.Description,ID.1,imputed,num_NAs,P1_vs_P2_CI.L,P1_vs_P2_CI.R,P1_vs_P2_diff,P1_vs_P2_p.adj,P1_vs_P2_p.val,P1_vs_P3_CI.L,P1_vs_P3_CI.R,P1_vs_P3_diff,P1_vs_P3_p.adj,P1_vs_P3_p.val,P1_vs_P4_CI.L,P1_vs_P4_CI.R,P1_vs_P4_diff,P1_vs_P4_p.adj,P1_vs_P4_p.val,P2_vs_P3_CI.L,P2_vs_P3_CI.R,P2_vs_P3_diff,P2_vs_P3_p.adj,P2_vs_P3_p.val,P2_vs_P4_CI.L,P2_vs_P4_CI.R,P2_vs_P4_diff,P2_vs_P4_p.adj,P2_vs_P4_p.val,P3_vs_P4_CI.L,P3_vs_P4_CI.R,P3_vs_P4_diff,P3_vs_P4_p.adj,P3_vs_P4_p.val,P1_vs_P2_significant,P1_vs_P3_significant,P1_vs_P4_significant,P2_vs_P3_significant,P2_vs_P4_significant,P3_vs_P4_significant,significant,Matched_UniProt,Ensembl_ID
Wdr91,0.3762220442748935,0.7987916152603229,129.71266,109.4153798795672,0.1471816412757579,21.49574156617088,0.34447387,1.0315418104766647,21.40047557,21.34876759,21.53562692,21.18122466,21.3355734,21.46182737,21.48922575,21.4681047,21.73000477,21.24268984,21.61950206,21.52583476,21.60772337,21.56803467,21.70846602,21.68034716,8977,Q7TMQ7,WDR91_MOUSE,Wdr91,WD repeat-containing protein 91,Q7TMQ7,False,0,-0.288779461415518,0.144461218215187,-0.0721591216001656,0.999021868538539,0.486708917543307,-0.379604515814666,0.0536361638160402,-0.162984175999313,0.890017270868807,0.128900627908138,-0.491239460939059,-0.0579987813083532,-0.274619121123706,0.387864729717201,0.0166220783477218,-0.3074453942145,0.125795285416206,-0.0908250543991471,0.995313519103584,0.383736627613195,-0.419080339338893,0.0141603402918124,-0.202459999523541,0.988062090504938,0.0647461155829309,-0.328255284939746,0.104985394690959,-0.111634945124393,0.873565805149171,0.287676818070047,False,False,False,False,False,False,False,WDR91_MOUSE,ENSMUSG00000058486
Wdsub1,0.055258094,0.518033381,127.99442,8.148378037893787,0.1838441218945394,19.5414098,0.6031934,0.9590950849417696,19.52935621,19.51383764,19.64440269,19.69169583,19.59930831,19.34350037,19.25374879,19.6074167,19.40682529,19.46499328,19.19998274,19.40585326,19.55097437,19.84254894,19.53271761,19.89339734,8978,Q9D0I6,WSDU1_MOUSE,Wdsub1,"WD repeat, SAM and U-box domain-containing protein 1",Q9D0I6,False,0,-0.0895363441659748,0.377195444650344,0.143829550242184,0.998419971390684,0.207413119191203,-0.0079564427105831,0.458775346105736,0.225409451697576,0.786011989288994,0.0572524660010489,-0.343452362614631,0.123279426201688,-0.110086468206472,0.928248345028169,0.3288372777976,-0.151785992952768,0.314945795863551,0.0815799014553917,0.995809378393467,0.465826651853627,-0.487281912856815,-0.0205501240404969,-0.253916018448656,0.983116516379959,0.0350357490709319,-0.568861814312207,-0.102130025495889,-0.335495919904048,0.0467804318148913,0.008091923140863,False,False,False,False,False,False,False,WSDU1_MOUSE,ENSMUSG00000026988
Wdtc1,1.0,1.0,129.10573,127.39645186203778,0.1100723895521354,20.62818825613236,0.16375881,1.3166732360682287,20.88027473,20.7185122,20.46857351,20.79494152,20.68924682,20.54530574,20.45468406,20.06146404,20.57578792,20.63032168,20.83536154,20.68867629,20.72471882,20.69829299,20.56735353,20.52822257,8979,Q80ZK9,WDTC1_MOUSE,Wdtc1,WD and tetratricopeptide repeats protein 1,Q80ZK9,False,0,0.0090489683559883,0.546751691662318,0.277900330009153,0.996047006565891,0.0436857391981064,-0.235812726642389,0.301889996663941,0.0330386350107759,0.975632158973509,0.795963138858288,-0.182922844873128,0.354779878433201,0.0859285167800365,0.950697631382305,0.504241523810363,-0.513713056651542,0.0239896666547875,-0.244861694998377,0.987416059643535,0.071055566358563,-0.460823174882281,0.0768795484240482,-0.191971813229117,0.992348601947963,0.147942828447981,-0.215961479883904,0.321741243422425,0.0528898817692607,0.956940094321312,0.679497094039011,False,False,False,False,False,False,False,WDTC1_MOUSE,ENSMUSG00000037622
Wee1,0.6173244899999999,0.9328291782816992,131.69865,25.15259017,0.0143482967828024,21.26816341932374,0.40143296,2.588473524341384,21.25248777,21.5443775,21.21497601,21.43455321,21.29958172,21.08937427,21.20732457,21.32948531,21.22466696,21.29116811,21.17920194,21.37458935,21.17977477,21.2029331,21.02106887,21.60388779,8980,P47810,WEE1_MOUSE,Wee1,Wee1-like protein kinase,P47810,False,0,-0.118726555657271,0.379040866658054,0.130157155500392,0.998667509592233,0.280902080599036,-0.154691678844943,0.343075743470382,0.0941920323127192,0.959507594003582,0.430564195313674,-0.139201218723285,0.358566203592039,0.109682492434377,0.933829614587799,0.36060489416517,-0.284848834345335,0.21291858796999,-0.0359651231876725,0.996866472947482,0.761189486442139,-0.269358374223677,0.228409048091648,-0.0204746630660146,0.997005360657294,0.862480588843541,-0.233393251036004,0.26437417127932,0.0154904601216579,0.969158386957793,0.895710859741827,False,False,False,False,False,False,False,WEE1_MOUSE,ENSMUSG00000031016
Wfikkn1,0.21827584,0.6829093121651619,127.47554,4.057672467990742,0.4198515712881956,18.58488052650722,0.42246795,1.633399254529959,,18.68783595,18.69675154,19.03085866,18.49831775,17.32498735,18.48873276,,19.19805484,18.85820084,16.95331474,18.92639833,18.95048623,18.35822159,18.77111755,19.23515802,8981,Q8R0S6,WFKN1_MOUSE,Wfikkn1,"WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 1",Q8R0S6,False,0,-0.431579801742467,1.38573122421156,0.477075711234544,0.998662641968559,0.279080620426604,-0.640035197966172,1.17727582798785,0.268620315010839,0.966202852204836,0.536291782865053,-0.984788857971461,0.832522167982562,-0.0761333449944495,0.969204410693032,0.859967187150409,-1.11711090920072,0.700200116753306,-0.208455396223705,0.996489681513755,0.630336728191758,-1.46186456920601,0.355446456748018,-0.553209056228994,0.993673520692209,0.212688258186994,-1.2534091729823,0.563901852971723,-0.344753660005289,0.923725988598503,0.429430789293542,False,False,False,False,False,False,False,WFKN1_MOUSE,ENSMUSG00000071192
Wfs1,1.0,1.0,126.62627,12.091917741289652,0.2151199145442956,20.636665842069483,0.2077949,1.0900261115619505,20.25195476,20.65953645,20.31830457,21.12882762,20.34032873,20.60542654,20.83494832,21.0178345,20.04380473,20.73882635,19.98346224,20.25672227,20.95123263,20.81952723,20.77119263,21.25053918,8982,P56695,WFS1_MOUSE,Wfs1,Wolframin,P56695,False,0,-0.571260245269673,0.351302897994901,-0.109978673637386,0.999146356222439,0.617087401089679,-0.12732961713031,0.795233526134264,0.333951954501977,0.899001605074432,0.142800410570135,-0.819748638374054,0.10281450489052,-0.358467066741767,0.824324465016979,0.117779830907281,-0.0173509434929241,0.905212199771649,0.443930628139363,0.985747383000558,0.0580542107659461,-0.709769964736668,0.212793178527906,-0.248488393104381,0.994383039977674,0.267292394756561,-1.15370059287603,-0.231137449611457,-0.692419021243744,0.0314030071888088,0.0061740960360873,False,False,False,False,False,False,False,WFS1_MOUSE,ENSMUSG00000039474
Wipf1,0.97634161,1.0,126.01381,74.20616634088545,0.046207699,21.218208352195568,0.55648327,7.820121413575946,20.97293733,21.08055512,21.19225421,21.47014853,21.07456971,20.99524805,21.1302822,21.86923544,20.63667457,21.47077618,21.44299988,21.39737358,20.95561707,21.29026702,21.12158573,21.43207312,8983,Q8K1I7,WIPF1_MOUSE,Wipf1,WAS/WASL-interacting protein family member 1,Q8K1I7,False,0,-0.551044647311681,0.374324544447074,-0.0883600514323035,0.999199150082671,0.688317040741214,-0.520666849675596,0.404702342083158,-0.0579822537962187,0.975531071235607,0.792031958577146,-0.48359653259854,0.441772659160215,-0.0209119367191626,0.971119623531429,0.924154135787027,-0.432306798243292,0.493062393515462,0.0303777976360848,0.997156501931688,0.890026711987692,-0.395236481166236,0.530132710592518,0.0674481147131409,0.996778349855086,0.759162561939459,-0.425614278802321,0.499754912956433,0.0370703170770561,0.967895729567549,0.866029687803817,False,False,False,False,False,False,False,WIPF1_MOUSE,ENSMUSG00000075284
Wipf2,0.05832225,0.5268705304265403,125.44252,107.80990463397887,0.1254381584104482,21.76165952424204,0.7452963,1.2279391043524834,21.80816907,21.5570871,21.7308144,21.66315117,21.83586724,21.53893072,21.56285367,21.65935351,21.83695116,21.72825896,21.71501529,22.13370025,21.83624863,21.73434012,21.89373802,21.94112086,8984,Q6PEV3,WIPF2_MOUSE,Wipf2,WAS/WASL-interacting protein family member 2,Q6PEV3,False,0,-0.177542223549356,0.258650526599826,0.0405541515252352,0.99920441448013,0.69606222510736,-0.381772356123957,0.0544203940252252,-0.163675981049366,0.890652512730327,0.129801319154303,-0.379652848672652,0.0565399014765297,-0.161556473598061,0.843183824340975,0.134443618622483,-0.422326507649192,0.0138662424999899,-0.204230132574601,0.986619382755883,0.0642938483051442,-0.420207000197887,0.0159857499512945,-0.202110625123296,0.988264249709645,0.0667832158116612,-0.215976867623286,0.220215882525895,0.0021195074513045,0.972385290218774,0.983665588682903,False,False,False,False,False,False,False,WIPF2_MOUSE,ENSMUSG00000038013
Wipf3,0.58813561,0.9184157924397492,129.24257,92.56317169242236,0.093789626,19.455056800497346,0.59563386,2.4941700568824734,19.46337088,19.19116275,19.49177182,19.02261907,19.47316294,19.52950957,19.33805478,19.64507443,19.25328051,19.32364597,19.45760268,20.11344127,19.66822022,19.57819725,18.97602703,19.73035072,8985,P0C7L0;P0C7L0-2,WIPF3_MOUSE,Wipf3,WAS/WASL-interacting protein family member 3,P0C7L0,False,0,-0.627334853085919,0.218896254010374,-0.204219299537773,0.998757316561508,0.31814924824168,-0.667877028034321,0.178354079061971,-0.244761474486175,0.933276319804178,0.235121290767886,-0.619083229369664,0.227147877726629,-0.195967675821517,0.929852064264467,0.337411578430228,-0.463657728496549,0.382573378599743,-0.0405421749484027,0.997051615356413,0.840141117225635,-0.414863929831891,0.431367177264401,0.0082516237162551,0.997201909131008,0.967228564730536,-0.374321754883488,0.471909352212804,0.0487937986646578,0.965125613914578,0.808248097669107,False,False,False,False,False,False,False,,
Wipi1,1.0,1.0,131.99205,50.41724936047665,0.0311584140891728,19.392763738398973,0.11180627,2.4036151422323164,19.48974278,19.51179247,19.42731067,19.43601411,19.68246398,19.07536266,19.49212547,19.20944552,19.62532946,18.99199918,19.56833588,19.59998636,19.16442347,19.52061862,19.23229659,19.24368789,8986,Q8R3E3;Q8R3E3-2,WIPI1_MOUSE,Wipi1,WD repeat domain phosphoinositide-interacting protein 1,Q8R3E3,False,0,-0.224077667570858,0.426808860423369,0.101365596426255,0.999052818359051,0.514995191364858,-0.305640981048986,0.345245546945241,0.0198022829481275,0.977981933789403,0.898030060553609,-0.149484901754389,0.501401626239838,0.175958362242724,0.913448852370828,0.265613913921307,-0.407006577475241,0.243879950518986,-0.081563313478128,0.996383312859188,0.599360697404201,-0.250850498180645,0.400036029813582,0.0745927658164689,0.996429349389178,0.630643055915696,-0.169287184702517,0.48159934329171,0.156156079294597,0.889815337818611,0.320894191055311,False,False,False,False,False,False,False,WIPI1_MOUSE,ENSMUSG00000041895
Wipi2,0.0214004210708361,0.3769848655086933,124.96133,97.45224283549724,0.1801882737384725,23.09671405876928,0.6580956,0.689607655,23.14735489,22.95046665,22.96039316,22.75860731,23.05539329,23.11697281,22.94799397,22.91670107,23.17589963,23.22171704,23.50873518,23.29940197,23.14252113,23.13457361,23.17208327,23.10681733,8987,Q80W47,WIPI2_MOUSE,Wipi2,WD repeat domain phosphoinositide-interacting protein 2,Q80W47,False,0,-0.250499260736758,0.140379702027692,-0.0550597793545329,0.999092848467801,0.555373462777986,-0.542672432798047,-0.151793470033598,-0.347232951415823,0.119766468139876,0.0019090615548766,-0.380232814622464,0.0106461481419848,-0.18479333324024,0.702401979019231,0.0620387420920279,-0.487612653443514,-0.096733690679065,-0.29217317206129,0.935827327558591,0.0063375048265567,-0.325173035267932,0.0657059274965177,-0.129733553885707,0.993024927277086,0.176444734731622,-0.0329998632066419,0.357879099557807,0.162439618175583,0.560545754884821,0.0963397211423703,False,False,False,False,False,False,False,WIPI2_MOUSE,ENSMUSG00000029578
Wiz,0.6006250000000001,0.9249409897444246,131.70375,29.345824106731552,0.027471972,24.412844864184027,0.33168098,2.529209085715769,24.62557112,24.69888842,24.2122247,24.63304904,24.61971735,24.39977233,24.11939199,24.32346224,24.29779442,24.13021573,24.36918077,24.88053043,24.24945514,24.39722953,24.4401772,24.39011951,8988,F6ZBR8,F6ZBR8_MOUSE,Wiz,Widely-interspaced zinc finger motifs,F6ZBR8,False,0,-0.155948670873443,0.509643355312172,0.176847342219364,0.998647522080313,0.273539353652784,-0.209793030091327,0.455798996094288,0.123002983001481,0.960311741637398,0.441188226969616,-0.159608038173997,0.505983988011619,0.173187974918811,0.918178786635081,0.2831668119794,-0.386640372310691,0.278951653874924,-0.0538443592178837,0.996795626713264,0.733756410438517,-0.336455380393361,0.329136645792254,-0.0036593673005533,0.997226633685771,0.981518575747584,-0.282611021175477,0.382981005010138,0.0501849919173303,0.961897299138335,0.751163814217198,False,False,False,False,False,False,False,F6ZBR8_MOUSE,ENSMUSG00000024050
Wiz.1,0.92198404,1.0,127.51039,113.64589073985104,0.07101282,15.442967091097527,0.5309328,5.100443465727796,15.49221756,16.04264234,14.67913792,15.24135806,15.61467908,15.48188508,15.16392948,,15.59616916,15.28158585,14.8857724,15.93200626,15.37120889,14.92575825,15.97241522,15.98893024,8989,G5E8J8,G5E8J8_MOUSE,Wiz,Widely-interspaced zinc finger motifs,G5E8J8,False,0,-0.685341777608602,0.602056542731702,-0.0416426174384501,0.999314926654797,0.891628359822924,-0.703743608544818,0.583654711795485,-0.0600444483746667,0.976807368143029,0.844314375228679,-0.84443834438765,0.442959975952653,-0.200739184217499,0.951560383694965,0.514486316960309,-0.662100991106368,0.625297329233935,-0.0184018309362166,0.997276074006968,0.951978317929947,-0.8027957269492,0.484602593391103,-0.159096566779048,0.996345626808325,0.604364575498199,-0.784393896012983,0.50300442432732,-0.140694735842832,0.954220741007433,0.646453121133048,False,False,False,False,False,False,False,G5E8J8_MOUSE,ENSMUSG00000024050
Wls,0.064272456,0.547925325,126.87992,70.67748309933167,0.5595267545246385,24.33640648930983,0.59652996,0.6579587892606027,23.2795657,24.0645096,24.36960112,24.10671786,24.60535262,25.10357716,25.31494569,24.91595324,24.49196256,24.75256102,24.42142496,24.34443148,24.34495782,23.74540033,24.25731671,23.8495505,8990,Q6DID7,WLS_MOUSE,Wls,Protein wntless homolog,Q6DID7,False,0,-1.50161617149952,-0.558101038404,-1.02985860495176,0.827032280920074,0.0003524569900995,-1.01925400150326,-0.0757388684077464,-0.547496434955505,0.613916391551607,0.0260050026859766,-0.565965336834819,0.377549796260699,-0.0942077702870598,0.961843680215109,0.6749626166664,0.0106046034484949,0.954119736544012,0.482362169996254,0.983441291177304,0.0456953214547984,0.46389326811694,1.40740840121246,0.935650834664699,0.791711869480307,0.0008013641600379,-0.0184689018793135,0.925046231216204,0.453288664668445,0.396032551110961,0.0584069091978675,False,False,False,False,False,False,False,WLS_MOUSE,ENSMUSG00000028173
