sample,Gene,value,group,replicate
P_TP_90_REP_1,Slco5a1,3.900874658,Posterior,1
P_TP_90_REP_2,Slco5a1,5.046935126,Posterior,2
P_TP_90_REP_3,Slco5a1,5.263143691,Posterior,3
P_TP_120_REP_1,Slco5a1,5.038688978,Posterior,1
P_TP_120_REP_2,Slco5a1,5.646661228,Posterior,2
P_TP_120_REP_3,Slco5a1,5.956317034,Posterior,3
P_TP_30_REP_1,Ncoa2,6.931374804,Posterior,1
P_TP_30_REP_2,Ncoa2,7.171337476,Posterior,2
P_TP_30_REP_3,Ncoa2,6.61787495,Posterior,3
P_TP_60_REP_1,Ncoa2,6.945152012,Posterior,1
P_TP_60_REP_2,Ncoa2,6.411482432,Posterior,2
P_TP_60_REP_3,Ncoa2,6.890345048,Posterior,3
P_TP_90_REP_1,Ncoa2,7.453021719,Posterior,1
P_TP_90_REP_2,Ncoa2,6.905994447,Posterior,2
P_TP_90_REP_3,Ncoa2,7.266898019,Posterior,3
P_TP_120_REP_1,Ncoa2,6.686265603,Posterior,1
P_TP_120_REP_2,Ncoa2,7.283971407,Posterior,2
P_TP_120_REP_3,Ncoa2,7.045733315,Posterior,3
P_TP_30_REP_1,Tram1,9.529322568,Posterior,1
P_TP_30_REP_2,Tram1,9.30900042,Posterior,2
P_TP_30_REP_3,Tram1,9.689948641,Posterior,3
P_TP_60_REP_1,Tram1,9.483476181,Posterior,1
P_TP_60_REP_2,Tram1,9.472130823,Posterior,2
P_TP_60_REP_3,Tram1,9.423740178,Posterior,3
P_TP_90_REP_1,Tram1,9.652367915,Posterior,1
P_TP_90_REP_2,Tram1,9.248015386,Posterior,2
P_TP_90_REP_3,Tram1,9.386922986,Posterior,3
P_TP_120_REP_1,Tram1,9.346830794,Posterior,1
P_TP_120_REP_2,Tram1,9.35812424,Posterior,2
P_TP_120_REP_3,Tram1,9.679077417,Posterior,3
P_TP_30_REP_1,Lactb2,6.861004133,Posterior,1
P_TP_30_REP_2,Lactb2,6.206951995,Posterior,2
P_TP_30_REP_3,Lactb2,6.28762867,Posterior,3
P_TP_60_REP_1,Lactb2,6.855709347,Posterior,1
P_TP_60_REP_2,Lactb2,6.517186535,Posterior,2
P_TP_60_REP_3,Lactb2,6.778703297,Posterior,3
P_TP_90_REP_1,Lactb2,6.04531291,Posterior,1
P_TP_90_REP_2,Lactb2,6.918381681,Posterior,2
P_TP_90_REP_3,Lactb2,6.504095675,Posterior,3
P_TP_120_REP_1,Lactb2,6.640913746,Posterior,1
P_TP_120_REP_2,Lactb2,6.788225895,Posterior,2
P_TP_120_REP_3,Lactb2,6.334793015,Posterior,3
P_TP_30_REP_1,Eya1,2.76777938,Posterior,1
P_TP_30_REP_2,Eya1,3.895336022,Posterior,2
P_TP_30_REP_3,Eya1,3.810900122,Posterior,3
P_TP_60_REP_1,Eya1,3.07169062,Posterior,1
P_TP_60_REP_2,Eya1,4.943298344,Posterior,2
P_TP_60_REP_3,Eya1,4.599755772,Posterior,3
P_TP_90_REP_1,Eya1,2.994360794,Posterior,1
