sample,Gene,value,group,replicate
A_TP_30_REP_2,Stau2,6.640855821,Anterior,2
A_TP_30_REP_3,Stau2,6.311512309,Anterior,3
A_TP_60_REP_1,Stau2,6.768376728,Anterior,1
A_TP_60_REP_2,Stau2,6.018286933,Anterior,2
A_TP_60_REP_3,Stau2,6.580686945,Anterior,3
A_TP_90_REP_1,Stau2,6.601564324,Anterior,1
A_TP_90_REP_2,Stau2,5.951804376,Anterior,2
A_TP_90_REP_3,Stau2,6.80387701,Anterior,3
A_TP_120_REP_1,Stau2,6.569573644,Anterior,1
A_TP_120_REP_2,Stau2,6.63642096,Anterior,2
A_TP_120_REP_3,Stau2,6.745813214,Anterior,3
A_TP_30_REP_1,Ube2w,7.527402333,Anterior,1
A_TP_30_REP_2,Ube2w,6.938643961,Anterior,2
A_TP_30_REP_3,Ube2w,6.919605371,Anterior,3
A_TP_60_REP_1,Ube2w,7.234181218,Anterior,1
