sample,Gene,value,group,replicate
A_TP_30_REP_1,Gm26901,4.266167414,Anterior,1
A_TP_30_REP_2,Gm26901,4.809305259,Anterior,2
A_TP_30_REP_3,Gm26901,4.262376884,Anterior,3
A_TP_60_REP_1,Gm26901,5.154617398,Anterior,1
A_TP_60_REP_2,Gm26901,5.345880759,Anterior,2
A_TP_60_REP_3,Gm26901,4.383391324,Anterior,3
A_TP_90_REP_1,Gm26901,3.972632457,Anterior,1
A_TP_90_REP_2,Gm26901,1.632224749,Anterior,2
A_TP_90_REP_3,Gm26901,3.900427772,Anterior,3
A_TP_120_REP_1,Gm26901,5.067468139,Anterior,1
A_TP_120_REP_2,Gm26901,4.048795395,Anterior,2
A_TP_120_REP_3,Gm26901,3.482828356,Anterior,3
A_TP_30_REP_1,Rrs1,7.766560719,Anterior,1
A_TP_30_REP_2,Rrs1,8.004613311,Anterior,2
A_TP_30_REP_3,Rrs1,7.928074285,Anterior,3
A_TP_60_REP_1,Rrs1,7.893611589,Anterior,1
A_TP_60_REP_2,Rrs1,7.880002092,Anterior,2
A_TP_60_REP_3,Rrs1,7.954523218,Anterior,3
A_TP_90_REP_1,Rrs1,8.258773705,Anterior,1
A_TP_90_REP_2,Rrs1,8.254964614,Anterior,2
A_TP_90_REP_3,Rrs1,7.876068602,Anterior,3
A_TP_120_REP_1,Rrs1,7.988837693,Anterior,1
A_TP_120_REP_2,Rrs1,7.903518447,Anterior,2
A_TP_120_REP_3,Rrs1,7.898025283,Anterior,3
A_TP_30_REP_1,2610203C22Rik,2.076945784,Anterior,1
A_TP_30_REP_2,2610203C22Rik,3.636810459,Anterior,2
A_TP_30_REP_3,2610203C22Rik,3.524878701,Anterior,3
A_TP_60_REP_1,2610203C22Rik,4.138947232,Anterior,1
A_TP_60_REP_2,2610203C22Rik,3.708559453,Anterior,2
A_TP_60_REP_3,2610203C22Rik,3.161595697,Anterior,3
A_TP_90_REP_1,2610203C22Rik,1.705508062,Anterior,1
A_TP_90_REP_2,2610203C22Rik,2.867841089,Anterior,2
A_TP_90_REP_3,2610203C22Rik,4.476776278,Anterior,3
A_TP_120_REP_1,2610203C22Rik,2.20622766,Anterior,1
A_TP_120_REP_2,2610203C22Rik,2.363669288,Anterior,2
A_TP_120_REP_3,2610203C22Rik,3.973080511,Anterior,3
A_TP_30_REP_1,Mybl1,4.266167414,Anterior,1
A_TP_30_REP_2,Mybl1,5.14230342,Anterior,2
A_TP_30_REP_3,Mybl1,3.419808631,Anterior,3
A_TP_60_REP_1,Mybl1,4.617159168,Anterior,1
A_TP_60_REP_2,Mybl1,3.887343948,Anterior,2
A_TP_60_REP_3,Mybl1,2.799323923,Anterior,3
A_TP_90_REP_1,Mybl1,5.59962104,Anterior,1
A_TP_90_REP_2,Mybl1,3.972632576,Anterior,2
A_TP_90_REP_3,Mybl1,4.378474328,Anterior,3
