ID,Unnamed: 0,P_VALUE,Q_VALUE,PERIOD,LAG,AMPLITUDE,OFFSET,MEAN_PERIODICITY,SCATTER,TP_30_REP_1,TP_30_REP_2,TP_30_REP_3,TP_60_REP_1,TP_60_REP_2,TP_60_REP_3,TP_90_REP_1,TP_90_REP_2,TP_90_REP_3,TP_120_REP_1,TP_120_REP_2,TP_120_REP_3,Ensembl_ID
Eif1b,8688,0.15171025,0.692476576,132.27542,44.20980296,0.169571822,8.262182923,0.65202916,1.199669848,8.494710632,8.59532815,8.120766648,8.220102336,8.655052024,8.203910881,8.248195416,8.084358203,8.325085088,8.051250011,8.067595043,8.18443829,ENSMUSG00000006941
Entpd3,8689,0.24324624,0.791101991,127.38751,121.6461135,0.401898113,2.252504593,0.5104147,1.371175502,1.55797303,1.487561658,3.804831322,1.41663619,2.041656525,1.38988569,,2.349705361,,2.505160456,3.273297544,1.90111501,ENSMUSG00000041608
Rpl14,8690,1.0,1.0,129.14731,92.4949463,0.231627056,12.01440586,0.098253794,1.179994845,12.14079582,11.2119326,11.98694335,12.00402327,12.23859253,12.04650041,11.86097358,11.91255287,11.83877801,12.1614703,11.9467572,12.10740779,ENSMUSG00000025794
Ctnnb1,8694,1.0,1.0,128.1575,30.59534972,0.018077372,11.71881437,0.08163458,2.004609205,11.76950549,11.63544228,11.67937225,11.61304285,11.93408185,11.72966889,11.62948493,11.64242049,11.72221179,11.84943723,11.64826917,11.75071874,ENSMUSG00000006932
Ulk4,8695,0.088229974,0.610459654,126.992355,68.7189677,0.45858632,7.974065863,0.5625733,1.021534374,7.896130376,7.139352157,7.951489374,8.025839556,9.669919633,8.023990852,7.948898404,8.20277408,7.944078369,7.889928586,7.49305289,7.877238112,ENSMUSG00000040936
Trak1,8696,0.89264704,1.0,128.60435,61.40405634,0.136957843,6.172030842,0.6183425,3.672819156,5.937258673,6.06859898,6.455719644,6.562225714,5.754675358,6.66499344,6.561072818,5.932918353,6.037213995,5.775759995,6.259440149,6.337399109,ENSMUSG00000032536
Cck,8697,0.037504284,0.455829693,131.80806,65.03150314,0.771911991,2.068220264,0.6317349,0.495876798,2.289479608,,1.779433,2.774772639,2.854865393,2.08445834,,,2.556044675,1.739227005,0.973185647,,ENSMUSG00000032532
Sec22c,8698,0.883963187,1.0,129.73138,70.20112968,0.224849244,5.660220524,0.27209815,1.969622852,6.109652116,5.748051924,5.228575698,5.445441819,5.835652282,5.767631292,6.162637432,5.648649994,6.01015566,4.212508486,6.126533248,5.785376531,ENSMUSG00000061536
Ss18l2,8699,0.12173121,0.656213259,131.57191,96.32547472,0.183651074,7.499514637,0.61078805,1.141969815,7.624863189,6.586301279,7.328775807,7.554572053,7.429991653,7.630598149,7.935532455,7.596700136,7.372703474,7.491051565,7.697663483,7.664228903,ENSMUSG00000032526
Nktr,8700,1.0,1.0,129.76917,86.74429712,0.053566232,9.176156621,0.21182859,3.878912398,9.260885634,8.784980229,9.301780326,9.235773014,9.235094547,9.158467974,8.870725641,9.309932135,9.3337881,9.152970943,9.255426754,9.146190924,ENSMUSG00000032525
E530011L22Rik,8701,0.908580042,1.0,128.70154,18.43513737,0.519439859,4.428928811,0.26841927,1.172398538,3.868962357,4.864109768,4.954471714,4.876939075,5.007724753,3.561186942,2.474368535,4.425325493,4.075791645,4.80185539,4.780687794,4.958155618,ENSMUSG00000097820
Zfp651,8702,0.21986721,0.765747727,131.8415,33.57316406,0.111776363,7.580657089,0.76801217,1.331178881,7.84824137,7.464659738,7.946755079,7.683197148,7.403674362,7.646243583,7.553413022,7.469069189,7.465268712,7.755873946,7.35557886,7.3956033,ENSMUSG00000013419
Higd1a,8703,0.35081929,0.893238594,126.1998,90.38394793,0.064614816,7.442543568,0.5950033,1.553825392,7.490928503,7.056661451,7.670604497,7.384805499,7.321713299,7.549720019,7.852626992,7.51287946,7.552251237,7.462642793,7.508397734,7.263165685,ENSMUSG00000038412
1700048O20Rik,8705,0.59197636,1.0,127.055084,105.1515124,0.130210341,5.558168546,0.38792497,2.076453826,5.792937661,5.458812903,5.228575698,5.93325251,4.69696419,5.430788998,5.966309085,6.026567457,5.366940587,5.775759995,5.84160807,5.213434046,ENSMUSG00000043773
Pomgnt2,8706,0.41550916,0.951334906,132.00945,39.9189159,0.45097431,4.029510149,0.4227887,1.682817663,5.317881929,4.439265422,3.71858756,3.757255301,4.051885395,4.353813748,4.704031977,2.968767051,3.967426347,3.909905023,2.860090715,4.075798009,ENSMUSG00000066235
Snrk,8707,0.35366809,0.89677516,127.61702,22.34196745,0.144202218,7.607217906,0.65691864,1.559908218,7.84824137,7.781652124,7.480609253,7.325971224,7.734494488,7.65786731,7.346797531,7.480147111,7.552251237,7.443387989,7.707668887,7.758352356,ENSMUSG00000038145
Ano10,8709,0.74718736,1.0,126.9282,0.0,0.161487213,5.865200045,0.64918864,2.611716319,6.226646278,5.927308855,5.536499409,5.526063471,5.480281929,6.075612757,6.294125906,5.648649994,5.565866706,5.836062921,6.241186778,5.84150424,ENSMUSG00000037949
Abhd5,8711,0.32901696,0.876905692,127.675705,99.56907583,0.182573711,7.811822716,0.7088585,1.513320142,7.475249317,7.87591685,7.653273445,7.964478767,7.624849107,7.549720019,8.332195098,8.009873144,7.686494372,8.167287138,7.663801926,7.797897649,ENSMUSG00000032540
9530059O14Rik,8712,0.76160529,1.0,131.67615,123.6457676,0.334728932,2.923930469,0.7413479,2.678422626,3.422501248,2.750781823,2.337669373,3.665320359,2.041656525,2.08445834,4.083242293,1.242287748,3.05682578,3.199274757,3.757153375,2.919157383,ENSMUSG00000097736
Tcaim,8713,0.143981398,0.683567516,129.02232,71.870892,0.576424345,4.041715763,0.48016453,1.012521072,3.662933738,2.94222438,4.105964251,5.032226188,4.69696419,4.428097896,4.704031977,3.576022663,4.359220752,3.199274757,3.856427049,4.516023985,ENSMUSG00000046603
Zfp445,8714,0.773399092,1.0,129.34833,8.23457029,0.114052969,7.987709422,0.30335453,2.176988648,7.596155977,8.702853344,7.641602654,8.106709674,7.985794018,7.832137355,7.880794835,7.555398461,8.067332156,8.202072783,8.128447698,8.047972856,ENSMUSG00000047036
Zkscan7,8717,0.75064896,1.0,131.80476,35.66154546,0.165391614,4.015314293,0.7705984,2.631247194,4.049211615,4.071489163,4.465010598,3.925220737,4.300349267,3.911214062,4.083242293,3.576022663,3.967426347,3.199274757,3.594126121,4.932542614,ENSMUSG00000063488
Zfp105,8718,0.911110975,1.0,130.86789,0.0,0.152002265,6.445750663,0.2680257,1.736311086,6.402741671,6.858489118,6.54613306,5.83117753,6.358373053,6.299900342,7.006777331,6.374066209,6.189700817,6.68267813,6.721154223,5.908725941,ENSMUSG00000057895
1110059G10Rik,8719,0.51782416,1.0,127.14172,26.30580393,0.236405631,7.382314084,0.65377945,1.895561392,7.536968866,8.168687896,6.947859986,7.216858972,7.875217938,7.023545236,7.152532676,7.365343092,6.884382464,7.433663354,7.446014095,7.293664749,ENSMUSG00000032551
Kif15,8720,0.137701751,0.678399865,126.18082,30.12345104,0.082225025,8.708522114,0.4894552,1.092724031,8.808036488,8.757295375,8.764438251,8.887230966,8.538943245,8.762331637,8.691500022,8.464992157,8.529470866,8.680353967,8.833200576,8.621130676,ENSMUSG00000036768
Gm9856,8721,0.81252196,1.0,130.83539,35.39926789,0.276353635,4.605473728,0.76626754,2.960467197,5.245783707,4.234900659,5.164775938,5.068569981,4.860695682,4.058801229,4.572052891,2.968767051,5.528215475,5.025498054,3.99359705,4.371009987,ENSMUSG00000110945
