sample,Gene,value,group,replicate
P_TP_30_REP_4,4933427D14Rik.1,18.94684651,Posterior,4
P_TP_60_REP_1,4933427D14Rik.1,18.86781503,Posterior,1
P_TP_60_REP_2,4933427D14Rik.1,18.87129251,Posterior,2
P_TP_60_REP_3,4933427D14Rik.1,18.78898455,Posterior,3
P_TP_60_REP_4,4933427D14Rik.1,19.15654301,Posterior,4
P_TP_90_REP_1,4933427D14Rik.1,18.82890134,Posterior,1
P_TP_90_REP_2,4933427D14Rik.1,18.85549302,Posterior,2
P_TP_90_REP_3,4933427D14Rik.1,19.12010215,Posterior,3
P_TP_90_REP_4,4933427D14Rik.1,19.26175456,Posterior,4
P_TP_120_REP_1,4933427D14Rik.1,19.00186393,Posterior,1
P_TP_120_REP_2,4933427D14Rik.1,19.22396763,Posterior,2
P_TP_120_REP_3,4933427D14Rik.1,19.07831512,Posterior,3
P_TP_120_REP_4,4933427D14Rik.1,18.54586135,Posterior,4
P_TP_30_REP_1,5031439G07Rik,21.31936051,Posterior,1
P_TP_30_REP_2,5031439G07Rik,21.30978013,Posterior,2
P_TP_30_REP_3,5031439G07Rik,21.31014796,Posterior,3
P_TP_30_REP_4,5031439G07Rik,21.37252468,Posterior,4
P_TP_60_REP_1,5031439G07Rik,21.27387831,Posterior,1
P_TP_60_REP_2,5031439G07Rik,21.33812461,Posterior,2
P_TP_60_REP_3,5031439G07Rik,21.05315914,Posterior,3
P_TP_60_REP_4,5031439G07Rik,21.37292661,Posterior,4
P_TP_90_REP_1,5031439G07Rik,21.18923146,Posterior,1
P_TP_90_REP_2,5031439G07Rik,20.91587739,Posterior,2
P_TP_90_REP_3,5031439G07Rik,21.1067618,Posterior,3
P_TP_90_REP_4,5031439G07Rik,21.30099533,Posterior,4
P_TP_120_REP_1,5031439G07Rik,21.2031621,Posterior,1
P_TP_120_REP_2,5031439G07Rik,21.15434284,Posterior,2
P_TP_120_REP_3,5031439G07Rik,21.21806313,Posterior,3
P_TP_120_REP_4,5031439G07Rik,20.90742407,Posterior,4
P_TP_30_REP_1,5730507C01Rik,20.58720625,Posterior,1
P_TP_30_REP_2,5730507C01Rik,20.6842753,Posterior,2
P_TP_30_REP_3,5730507C01Rik,21.20876239,Posterior,3
P_TP_30_REP_4,5730507C01Rik,21.53533672,Posterior,4
P_TP_60_REP_1,5730507C01Rik,20.85603636,Posterior,1
P_TP_60_REP_2,5730507C01Rik,20.67588693,Posterior,2
P_TP_60_REP_3,5730507C01Rik,21.36575426,Posterior,3
P_TP_60_REP_4,5730507C01Rik,21.53502318,Posterior,4
P_TP_90_REP_1,5730507C01Rik,21.320245,Posterior,1
P_TP_90_REP_2,5730507C01Rik,21.22961256,Posterior,2
P_TP_90_REP_3,5730507C01Rik,20.85274951,Posterior,3
P_TP_90_REP_4,5730507C01Rik,21.25642477,Posterior,4
P_TP_120_REP_1,5730507C01Rik,20.97707547,Posterior,1
P_TP_120_REP_2,5730507C01Rik,20.79901025,Posterior,2
P_TP_120_REP_3,5730507C01Rik,21.2257885,Posterior,3
P_TP_120_REP_4,5730507C01Rik,21.26369931,Posterior,4
P_TP_30_REP_1,9130023H24Rik,17.72540108,Posterior,1
P_TP_30_REP_2,9130023H24Rik,18.172934,Posterior,2
P_TP_30_REP_3,9130023H24Rik,17.23176438,Posterior,3
P_TP_30_REP_4,9130023H24Rik,18.41606157,Posterior,4
P_TP_60_REP_1,9130023H24Rik,17.96352948,Posterior,1
P_TP_60_REP_2,9130023H24Rik,17.81501397,Posterior,2
P_TP_60_REP_3,9130023H24Rik,17.78670731,Posterior,3
P_TP_60_REP_4,9130023H24Rik,17.23941566,Posterior,4
P_TP_90_REP_1,9130023H24Rik,17.87507399,Posterior,1
P_TP_90_REP_3,9130023H24Rik,17.85577591,Posterior,3
P_TP_90_REP_4,9130023H24Rik,18.0338935,Posterior,4
P_TP_120_REP_1,9130023H24Rik,17.71560497,Posterior,1
P_TP_120_REP_2,9130023H24Rik,18.05437338,Posterior,2
P_TP_120_REP_3,9130023H24Rik,18.09044394,Posterior,3
P_TP_30_REP_1,9430038I01Rik,22.12352589,Posterior,1
P_TP_30_REP_2,9430038I01Rik,22.37173663,Posterior,2
P_TP_30_REP_3,9430038I01Rik,21.58090803,Posterior,3
P_TP_30_REP_4,9430038I01Rik,21.76050651,Posterior,4
P_TP_60_REP_1,9430038I01Rik,22.19159173,Posterior,1
P_TP_60_REP_2,9430038I01Rik,21.91349807,Posterior,2
P_TP_60_REP_3,9430038I01Rik,21.84399331,Posterior,3
P_TP_60_REP_4,9430038I01Rik,21.51393559,Posterior,4
P_TP_90_REP_1,9430038I01Rik,21.87496542,Posterior,1
P_TP_90_REP_2,9430038I01Rik,20.97341337,Posterior,2
P_TP_90_REP_3,9430038I01Rik,21.77219963,Posterior,3
P_TP_90_REP_4,9430038I01Rik,22.97153739,Posterior,4
P_TP_120_REP_1,9430038I01Rik,22.28597268,Posterior,1
P_TP_120_REP_2,9430038I01Rik,22.86184812,Posterior,2
P_TP_120_REP_3,9430038I01Rik,22.01230394,Posterior,3
P_TP_30_REP_3,A130010J15Rik,16.29207798,Posterior,3
P_TP_30_REP_4,A130010J15Rik,16.34946978,Posterior,4
P_TP_60_REP_1,A130010J15Rik,16.99259033,Posterior,1
P_TP_60_REP_2,A130010J15Rik,16.45347309,Posterior,2
P_TP_60_REP_3,A130010J15Rik,16.24007593,Posterior,3
P_TP_60_REP_4,A130010J15Rik,16.60642177,Posterior,4
P_TP_90_REP_1,A130010J15Rik,15.9371631,Posterior,1
P_TP_90_REP_3,A130010J15Rik,16.62142522,Posterior,3
P_TP_120_REP_1,A130010J15Rik,15.58082636,Posterior,1
P_TP_120_REP_2,A130010J15Rik,15.94350195,Posterior,2
P_TP_120_REP_3,A130010J15Rik,15.94571088,Posterior,3
P_TP_30_REP_1,A1bg,22.40263033,Posterior,1
P_TP_30_REP_2,A1bg,19.95383457,Posterior,2
P_TP_30_REP_3,A1bg,22.31369046,Posterior,3
P_TP_30_REP_4,A1bg,19.97156369,Posterior,4
P_TP_60_REP_1,A1bg,19.35120794,Posterior,1
P_TP_60_REP_3,A1bg,19.8496751,Posterior,3
P_TP_60_REP_4,A1bg,18.91753459,Posterior,4
P_TP_90_REP_1,A1bg,19.68499743,Posterior,1
P_TP_90_REP_2,A1bg,19.79266126,Posterior,2
P_TP_90_REP_3,A1bg,20.36801265,Posterior,3
P_TP_120_REP_2,A1bg,19.87790759,Posterior,2
P_TP_120_REP_3,A1bg,20.98104506,Posterior,3
P_TP_120_REP_4,A1bg,18.97866517,Posterior,4
P_TP_30_REP_1,A2m,15.96368885,Posterior,1
P_TP_30_REP_2,A2m,15.64625627,Posterior,2
P_TP_30_REP_3,A2m,16.24186894,Posterior,3
P_TP_30_REP_4,A2m,15.08694235,Posterior,4
P_TP_60_REP_1,A2m,16.20774521,Posterior,1
P_TP_60_REP_2,A2m,14.8192776,Posterior,2
P_TP_60_REP_3,A2m,15.22364118,Posterior,3
P_TP_60_REP_4,A2m,14.52927776,Posterior,4
P_TP_90_REP_1,A2m,15.53984463,Posterior,1
P_TP_90_REP_3,A2m,16.09996286,Posterior,3
P_TP_90_REP_4,A2m,14.88430408,Posterior,4
P_TP_120_REP_1,A2m,15.81478309,Posterior,1
P_TP_120_REP_2,A2m,15.16061102,Posterior,2
P_TP_120_REP_3,A2m,16.64302733,Posterior,3
P_TP_30_REP_1,A630089N07Rik,19.20888036,Posterior,1
P_TP_30_REP_2,A630089N07Rik,19.07117372,Posterior,2
P_TP_30_REP_3,A630089N07Rik,19.01510161,Posterior,3
P_TP_30_REP_4,A630089N07Rik,18.33857635,Posterior,4
P_TP_60_REP_1,A630089N07Rik,18.99318754,Posterior,1
P_TP_60_REP_2,A630089N07Rik,18.9261282,Posterior,2
P_TP_60_REP_3,A630089N07Rik,18.5191753,Posterior,3
P_TP_60_REP_4,A630089N07Rik,19.22592089,Posterior,4
P_TP_90_REP_1,A630089N07Rik,18.89786287,Posterior,1
P_TP_90_REP_2,A630089N07Rik,19.15031852,Posterior,2
P_TP_90_REP_3,A630089N07Rik,19.03640294,Posterior,3
P_TP_90_REP_4,A630089N07Rik,18.94146859,Posterior,4
P_TP_120_REP_1,A630089N07Rik,19.0414923,Posterior,1
P_TP_120_REP_2,A630089N07Rik,19.33101274,Posterior,2
