sample,Gene,value,group,replicate
S_TP_120_REP_4,4933427D14Rik,18.43663087,Somite,4
S_TP_30_REP_1,4933427D14Rik.1,19.38299487,Somite,1
S_TP_30_REP_2,4933427D14Rik.1,18.89953778,Somite,2
S_TP_30_REP_3,4933427D14Rik.1,18.44511321,Somite,3
S_TP_30_REP_4,4933427D14Rik.1,18.9895536,Somite,4
S_TP_60_REP_1,4933427D14Rik.1,18.83353486,Somite,1
S_TP_60_REP_2,4933427D14Rik.1,18.94764494,Somite,2
S_TP_60_REP_3,4933427D14Rik.1,18.65797357,Somite,3
S_TP_60_REP_4,4933427D14Rik.1,19.10127802,Somite,4
S_TP_90_REP_1,4933427D14Rik.1,19.02591852,Somite,1
S_TP_90_REP_2,4933427D14Rik.1,19.1739637,Somite,2
S_TP_90_REP_3,4933427D14Rik.1,19.0742969,Somite,3
S_TP_90_REP_4,4933427D14Rik.1,18.84877631,Somite,4
S_TP_120_REP_1,4933427D14Rik.1,18.92536916,Somite,1
S_TP_120_REP_2,4933427D14Rik.1,18.71255158,Somite,2
S_TP_120_REP_3,4933427D14Rik.1,18.69913025,Somite,3
S_TP_120_REP_4,4933427D14Rik.1,18.73841318,Somite,4
S_TP_30_REP_1,5031439G07Rik,21.41211446,Somite,1
S_TP_30_REP_2,5031439G07Rik,21.42774201,Somite,2
S_TP_30_REP_3,5031439G07Rik,21.46061713,Somite,3
S_TP_30_REP_4,5031439G07Rik,21.32252645,Somite,4
S_TP_60_REP_1,5031439G07Rik,21.23778772,Somite,1
S_TP_60_REP_2,5031439G07Rik,21.19022903,Somite,2
S_TP_60_REP_3,5031439G07Rik,21.09593876,Somite,3
S_TP_60_REP_4,5031439G07Rik,21.25837213,Somite,4
S_TP_90_REP_1,5031439G07Rik,21.24046285,Somite,1
S_TP_90_REP_2,5031439G07Rik,21.28310756,Somite,2
S_TP_90_REP_3,5031439G07Rik,21.04291143,Somite,3
S_TP_90_REP_4,5031439G07Rik,21.26006334,Somite,4
S_TP_120_REP_1,5031439G07Rik,21.1599497,Somite,1
S_TP_120_REP_2,5031439G07Rik,21.1645796,Somite,2
S_TP_120_REP_3,5031439G07Rik,21.00548071,Somite,3
S_TP_120_REP_4,5031439G07Rik,21.10428173,Somite,4
S_TP_30_REP_1,5730507C01Rik,20.99006888,Somite,1
S_TP_30_REP_2,5730507C01Rik,21.40004223,Somite,2
S_TP_30_REP_3,5730507C01Rik,21.27091149,Somite,3
S_TP_30_REP_4,5730507C01Rik,21.38708632,Somite,4
S_TP_60_REP_1,5730507C01Rik,21.32914666,Somite,1
S_TP_60_REP_2,5730507C01Rik,20.55171883,Somite,2
S_TP_60_REP_3,5730507C01Rik,21.41448366,Somite,3
S_TP_60_REP_4,5730507C01Rik,21.15390833,Somite,4
S_TP_90_REP_1,5730507C01Rik,21.17111455,Somite,1
S_TP_90_REP_2,5730507C01Rik,21.39473082,Somite,2
S_TP_90_REP_3,5730507C01Rik,21.32263312,Somite,3
S_TP_90_REP_4,5730507C01Rik,20.97394246,Somite,4
S_TP_120_REP_1,5730507C01Rik,21.09870168,Somite,1
S_TP_120_REP_2,5730507C01Rik,20.51799252,Somite,2
S_TP_120_REP_3,5730507C01Rik,21.13472852,Somite,3
S_TP_120_REP_4,5730507C01Rik,21.58080795,Somite,4
S_TP_30_REP_1,9130023H24Rik,17.79769973,Somite,1
S_TP_30_REP_2,9130023H24Rik,18.31297846,Somite,2
S_TP_30_REP_3,9130023H24Rik,17.77513541,Somite,3
S_TP_30_REP_4,9130023H24Rik,17.74950135,Somite,4
S_TP_60_REP_1,9130023H24Rik,17.79021395,Somite,1
S_TP_60_REP_2,9130023H24Rik,18.5468136,Somite,2
S_TP_60_REP_3,9130023H24Rik,17.81822224,Somite,3
S_TP_60_REP_4,9130023H24Rik,18.04571748,Somite,4
S_TP_90_REP_1,9130023H24Rik,17.72101776,Somite,1
S_TP_90_REP_2,9130023H24Rik,17.71222868,Somite,2
S_TP_90_REP_3,9130023H24Rik,18.06828546,Somite,3
S_TP_90_REP_4,9130023H24Rik,17.86802587,Somite,4
S_TP_120_REP_1,9130023H24Rik,18.01516804,Somite,1
S_TP_120_REP_2,9130023H24Rik,17.68477644,Somite,2
S_TP_120_REP_3,9130023H24Rik,17.0903344,Somite,3
S_TP_120_REP_4,9130023H24Rik,18.219222,Somite,4
S_TP_30_REP_1,9430015G10Rik,17.74426711,Somite,1
S_TP_30_REP_2,9430015G10Rik,16.46271745,Somite,2
S_TP_30_REP_4,9430015G10Rik,16.92534734,Somite,4
S_TP_60_REP_1,9430015G10Rik,17.1002842,Somite,1
S_TP_60_REP_2,9430015G10Rik,16.76316201,Somite,2
S_TP_60_REP_3,9430015G10Rik,17.01015206,Somite,3
S_TP_60_REP_4,9430015G10Rik,16.72185787,Somite,4
S_TP_90_REP_2,9430015G10Rik,17.49246322,Somite,2
S_TP_90_REP_4,9430015G10Rik,16.86969842,Somite,4
S_TP_120_REP_1,9430015G10Rik,16.7830959,Somite,1
S_TP_120_REP_2,9430015G10Rik,16.56002541,Somite,2
S_TP_120_REP_4,9430015G10Rik,16.73264013,Somite,4
S_TP_30_REP_1,9430038I01Rik,22.16781141,Somite,1
S_TP_30_REP_2,9430038I01Rik,22.34503217,Somite,2
S_TP_30_REP_3,9430038I01Rik,22.2272684,Somite,3
S_TP_30_REP_4,9430038I01Rik,22.35710697,Somite,4
S_TP_60_REP_1,9430038I01Rik,21.39584109,Somite,1
S_TP_60_REP_2,9430038I01Rik,22.88243891,Somite,2
S_TP_60_REP_3,9430038I01Rik,22.20919169,Somite,3
S_TP_60_REP_4,9430038I01Rik,22.48872708,Somite,4
S_TP_90_REP_1,9430038I01Rik,21.79460286,Somite,1
S_TP_90_REP_2,9430038I01Rik,23.00500507,Somite,2
S_TP_90_REP_3,9430038I01Rik,22.00748509,Somite,3
S_TP_90_REP_4,9430038I01Rik,21.8703847,Somite,4
S_TP_120_REP_1,9430038I01Rik,22.44454086,Somite,1
S_TP_120_REP_2,9430038I01Rik,21.95967975,Somite,2
S_TP_120_REP_3,9430038I01Rik,22.31949076,Somite,3
S_TP_120_REP_4,9430038I01Rik,22.77960419,Somite,4
S_TP_30_REP_1,A130010J15Rik,16.88373027,Somite,1
S_TP_30_REP_4,A130010J15Rik,16.8736637,Somite,4
S_TP_60_REP_1,A130010J15Rik,16.81810695,Somite,1
S_TP_60_REP_2,A130010J15Rik,15.71850177,Somite,2
S_TP_60_REP_3,A130010J15Rik,16.39117367,Somite,3
S_TP_60_REP_4,A130010J15Rik,16.54500029,Somite,4
S_TP_90_REP_1,A130010J15Rik,16.08646799,Somite,1
S_TP_90_REP_3,A130010J15Rik,16.21872333,Somite,3
S_TP_120_REP_1,A130010J15Rik,16.0466287,Somite,1
S_TP_120_REP_2,A130010J15Rik,16.24951424,Somite,2
S_TP_120_REP_3,A130010J15Rik,16.01679817,Somite,3
S_TP_30_REP_1,A1bg,21.90814965,Somite,1
S_TP_30_REP_2,A1bg,19.6007728,Somite,2
S_TP_30_REP_3,A1bg,20.29659847,Somite,3
S_TP_30_REP_4,A1bg,19.87925419,Somite,4
S_TP_60_REP_1,A1bg,19.51354912,Somite,1
S_TP_60_REP_2,A1bg,19.25177051,Somite,2
S_TP_60_REP_3,A1bg,19.46717411,Somite,3
S_TP_60_REP_4,A1bg,18.78280459,Somite,4
S_TP_90_REP_1,A1bg,19.4506413,Somite,1
S_TP_90_REP_2,A1bg,19.84496506,Somite,2
S_TP_90_REP_3,A1bg,20.13991582,Somite,3
S_TP_120_REP_1,A1bg,19.80496966,Somite,1
S_TP_120_REP_2,A1bg,19.71542665,Somite,2
S_TP_120_REP_3,A1bg,20.60391529,Somite,3
S_TP_30_REP_2,A2m,15.4976518,Somite,2
S_TP_30_REP_3,A2m,16.46199497,Somite,3
S_TP_30_REP_4,A2m,15.09975196,Somite,4
S_TP_60_REP_1,A2m,16.41727571,Somite,1
S_TP_60_REP_2,A2m,15.05771772,Somite,2
S_TP_60_REP_3,A2m,13.91187997,Somite,3
S_TP_60_REP_4,A2m,14.43764284,Somite,4
S_TP_90_REP_1,A2m,15.33190408,Somite,1
S_TP_90_REP_2,A2m,14.2090992,Somite,2
S_TP_90_REP_3,A2m,15.94039881,Somite,3
S_TP_90_REP_4,A2m,15.26832413,Somite,4
S_TP_120_REP_1,A2m,15.03503745,Somite,1
S_TP_120_REP_2,A2m,15.09871314,Somite,2
S_TP_120_REP_3,A2m,16.13906989,Somite,3
S_TP_30_REP_1,A630089N07Rik,19.02972057,Somite,1
S_TP_30_REP_2,A630089N07Rik,19.30426996,Somite,2
S_TP_30_REP_3,A630089N07Rik,19.38293421,Somite,3
S_TP_30_REP_4,A630089N07Rik,18.78216735,Somite,4
S_TP_60_REP_1,A630089N07Rik,18.91013194,Somite,1
S_TP_60_REP_2,A630089N07Rik,19.15718444,Somite,2
S_TP_60_REP_3,A630089N07Rik,19.39343976,Somite,3
S_TP_60_REP_4,A630089N07Rik,19.27788087,Somite,4
S_TP_90_REP_1,A630089N07Rik,18.92118905,Somite,1
S_TP_90_REP_2,A630089N07Rik,18.74262021,Somite,2
S_TP_90_REP_3,A630089N07Rik,19.27923989,Somite,3
S_TP_90_REP_4,A630089N07Rik,18.47504598,Somite,4
S_TP_120_REP_1,A630089N07Rik,19.61262846,Somite,1
S_TP_120_REP_2,A630089N07Rik,19.36082681,Somite,2
S_TP_120_REP_3,A630089N07Rik,19.27236877,Somite,3
S_TP_120_REP_4,A630089N07Rik,18.68533004,Somite,4
S_TP_30_REP_1,Aaas,23.65887606,Somite,1
S_TP_30_REP_2,Aaas,23.57797738,Somite,2
S_TP_30_REP_3,Aaas,23.71987482,Somite,3
S_TP_30_REP_4,Aaas,23.67895702,Somite,4
S_TP_60_REP_1,Aaas,23.71825261,Somite,1
S_TP_60_REP_2,Aaas,23.55936886,Somite,2
S_TP_60_REP_3,Aaas,23.77970358,Somite,3
S_TP_60_REP_4,Aaas,23.45727534,Somite,4
S_TP_90_REP_1,Aaas,23.74707385,Somite,1
S_TP_90_REP_2,Aaas,23.42705613,Somite,2
S_TP_90_REP_3,Aaas,23.60601768,Somite,3
S_TP_90_REP_4,Aaas,23.40808421,Somite,4
S_TP_120_REP_1,Aaas,23.55833867,Somite,1
S_TP_120_REP_2,Aaas,23.69202955,Somite,2
S_TP_120_REP_3,Aaas,23.49586324,Somite,3
S_TP_120_REP_4,Aaas,23.5906705,Somite,4
S_TP_30_REP_1,Aacs,24.63130791,Somite,1
S_TP_30_REP_2,Aacs,24.00600187,Somite,2
S_TP_30_REP_3,Aacs,24.11314553,Somite,3
S_TP_30_REP_4,Aacs,24.26710746,Somite,4
S_TP_60_REP_1,Aacs,24.76383887,Somite,1
S_TP_60_REP_2,Aacs,23.91999073,Somite,2
S_TP_60_REP_3,Aacs,24.47406364,Somite,3
S_TP_60_REP_4,Aacs,24.2934054,Somite,4
S_TP_90_REP_1,Aacs,24.49058019,Somite,1
S_TP_90_REP_2,Aacs,24.1578388,Somite,2
S_TP_90_REP_3,Aacs,23.97012376,Somite,3
S_TP_90_REP_4,Aacs,24.16374289,Somite,4
S_TP_120_REP_1,Aacs,24.12584527,Somite,1
S_TP_120_REP_2,Aacs,24.0373668,Somite,2
S_TP_120_REP_3,Aacs,24.42566847,Somite,3
S_TP_120_REP_4,Aacs,24.51886884,Somite,4
S_TP_30_REP_1,Aagab,21.21118694,Somite,1
S_TP_30_REP_2,Aagab,21.06911959,Somite,2
S_TP_30_REP_3,Aagab,20.83140582,Somite,3
S_TP_30_REP_4,Aagab,20.77660711,Somite,4
S_TP_60_REP_1,Aagab,20.58981778,Somite,1
S_TP_60_REP_2,Aagab,21.189114,Somite,2
S_TP_60_REP_3,Aagab,20.8318442,Somite,3
S_TP_60_REP_4,Aagab,20.92237016,Somite,4
S_TP_90_REP_1,Aagab,20.56487523,Somite,1
S_TP_90_REP_2,Aagab,20.76391965,Somite,2
S_TP_90_REP_3,Aagab,20.93061119,Somite,3
S_TP_90_REP_4,Aagab,20.76603824,Somite,4
S_TP_120_REP_1,Aagab,20.74944557,Somite,1
S_TP_120_REP_2,Aagab,20.84803656,Somite,2
S_TP_120_REP_3,Aagab,21.0539748,Somite,3
S_TP_120_REP_4,Aagab,21.03833561,Somite,4
S_TP_30_REP_1,Aak1,21.89017797,Somite,1
S_TP_30_REP_2,Aak1,22.70800286,Somite,2
S_TP_30_REP_3,Aak1,22.39599219,Somite,3
S_TP_30_REP_4,Aak1,22.4025037,Somite,4
S_TP_60_REP_1,Aak1,22.34876982,Somite,1
S_TP_60_REP_2,Aak1,22.53535617,Somite,2
S_TP_60_REP_3,Aak1,22.49315744,Somite,3
S_TP_60_REP_4,Aak1,22.70039668,Somite,4
S_TP_90_REP_1,Aak1,22.44623429,Somite,1
S_TP_90_REP_2,Aak1,22.70757267,Somite,2
S_TP_90_REP_3,Aak1,22.51343077,Somite,3
S_TP_90_REP_4,Aak1,22.44136645,Somite,4
S_TP_120_REP_1,Aak1,22.2633115,Somite,1
S_TP_120_REP_2,Aak1,22.47546848,Somite,2
S_TP_120_REP_3,Aak1,22.10615732,Somite,3
S_TP_120_REP_4,Aak1,22.8498192,Somite,4
S_TP_30_REP_1,Aak1.1,21.63013397,Somite,1
S_TP_30_REP_2,Aak1.1,22.29360426,Somite,2
S_TP_30_REP_3,Aak1.1,22.17248428,Somite,3
S_TP_30_REP_4,Aak1.1,22.12067633,Somite,4
S_TP_60_REP_1,Aak1.1,21.86172813,Somite,1
S_TP_60_REP_2,Aak1.1,22.35055402,Somite,2
S_TP_60_REP_3,Aak1.1,22.03884926,Somite,3
S_TP_60_REP_4,Aak1.1,22.15876885,Somite,4
S_TP_90_REP_1,Aak1.1,21.80657763,Somite,1
S_TP_90_REP_2,Aak1.1,22.22912465,Somite,2
S_TP_90_REP_3,Aak1.1,22.15640839,Somite,3
S_TP_90_REP_4,Aak1.1,22.044707,Somite,4
S_TP_120_REP_1,Aak1.1,22.11264439,Somite,1
S_TP_120_REP_2,Aak1.1,22.19235504,Somite,2
S_TP_120_REP_3,Aak1.1,22.17621335,Somite,3
S_TP_120_REP_4,Aak1.1,22.47886782,Somite,4
S_TP_30_REP_1,Aamdc,24.67143983,Somite,1
S_TP_30_REP_2,Aamdc,24.1963901,Somite,2
S_TP_30_REP_3,Aamdc,24.21504222,Somite,3
S_TP_30_REP_4,Aamdc,24.13708245,Somite,4
S_TP_60_REP_1,Aamdc,24.5599052,Somite,1
S_TP_60_REP_2,Aamdc,24.21705289,Somite,2
S_TP_60_REP_3,Aamdc,24.06994468,Somite,3
S_TP_60_REP_4,Aamdc,24.5933775,Somite,4
S_TP_90_REP_1,Aamdc,24.10687988,Somite,1
S_TP_90_REP_2,Aamdc,24.44340719,Somite,2
S_TP_90_REP_3,Aamdc,24.64091424,Somite,3
S_TP_90_REP_4,Aamdc,24.15996191,Somite,4
S_TP_120_REP_1,Aamdc,24.20057261,Somite,1
S_TP_120_REP_2,Aamdc,24.18619288,Somite,2
S_TP_120_REP_3,Aamdc,24.77115403,Somite,3
