ID,Unnamed: 0,P_VALUE,Q_VALUE,PERIOD,LAG,AMPLITUDE,OFFSET,MEAN_PERIODICITY,SCATTER,TP_30_REP_1,TP_30_REP_2,TP_30_REP_3,TP_60_REP_1,TP_60_REP_2,TP_60_REP_3,TP_90_REP_1,TP_90_REP_2,TP_90_REP_3,TP_120_REP_1,TP_120_REP_2,TP_120_REP_3,Ensembl_ID
Phb2,5563,0.2916,0.894211345,127.685905,20.32184302,0.072341827,9.605340574,0.57617867,1.462376601,9.571211955,9.767210652,9.616256252,9.580090022,9.5230737,9.663652222,9.519057896,9.502767727,9.554421821,9.662999787,9.761013285,9.472073239,ENSMUSG00000004264
Ptpn6,5564,0.54567769,1.0,127.5169,58.85533998,0.186293855,5.426553243,0.6535105,1.951080948,4.852954298,5.86283597,5.557180415,6.134222752,5.672941721,5.300718472,5.420771973,5.560652149,5.262996248,4.902911186,5.75144785,5.126511147,ENSMUSG00000004266
Grcc10,5565,0.27237961,0.873758446,128.00735,95.75311531,0.09440593,10.26808826,0.7073075,1.429580037,10.08745374,10.10354187,10.34323775,10.28781763,10.1208535,10.33159616,10.33064583,10.26132566,10.55486941,10.37458754,10.16307998,10.30814016,ENSMUSG00000072772
Atn1,5566,0.362404,0.962247194,129.62946,45.38857097,0.135408551,8.354175015,0.81090546,1.587378753,8.791468822,8.391689196,8.16595726,8.161228464,8.571558692,8.650050737,8.290380167,8.130763998,8.402262449,8.216275324,8.186235066,8.311549919,ENSMUSG00000004263
Eno2,5567,0.96510976,1.0,132.10655,35.74319834,0.11532464,3.619777674,0.75083447,5.538942548,4.74163124,2.855892113,3.669395435,4.349593491,2.981682808,3.615879324,3.621429308,2.867841089,4.098697062,3.327209704,3.748496779,,ENSMUSG00000004267
Spsb2,5568,0.20196036,0.800602594,128.06693,61.1474525,0.39501745,5.171095774,0.66502744,1.303356354,5.052733541,4.754778472,5.629648155,5.707018513,5.812307223,5.251399004,5.301750071,4.925937364,5.394567352,4.614436512,5.542708358,4.629529908,ENSMUSG00000038451
Tpi1,5569,1.0,1.0,128.05714,77.44752447,0.061569632,9.845541395,0.22740889,1.362084219,9.621211109,9.858924653,9.814512485,9.988769448,9.867431988,9.952085271,9.771349064,9.935984864,9.818543042,9.910646284,9.946754606,9.703012684,ENSMUSG00000023456
Usp5,5570,0.36445369,0.964876247,128.02971,87.61921242,0.1003884,8.836506334,0.73240745,1.591430713,8.609233476,8.763696944,8.857565184,8.753796214,8.84482549,8.991583448,8.817067107,9.021471207,8.962664148,8.73988565,9.037731697,8.700826283,ENSMUSG00000038429
Cdca3,5571,1.0,1.0,128.16628,77.51352559,0.104868957,9.429981213,0.2067368,0.868689089,9.246193381,9.253592652,9.348379721,9.733470069,9.467920698,9.566177716,9.496651327,9.277223338,9.486728872,9.440903934,9.608428721,9.311847535,ENSMUSG00000023505
P3h3,5572,0.09193024,0.653292615,126.256485,48.22642484,0.273148161,5.161882869,0.67656994,1.078439558,5.456863397,5.224856169,5.059182308,5.919971085,5.002064057,5.545415074,4.69353237,5.022305622,5.206813453,4.81301305,5.220496319,4.871713013,ENSMUSG00000023191
Gpr162,5573,0.98883136,1.0,126.969955,99.01869056,0.116181392,2.284598105,0.42656004,7.691681645,3.08938035,2.042558596,1.595145643,1.914412795,1.446133133,3.161595697,1.091340234,3.232603418,3.058859212,3.327209704,1.026229427,2.465811466,ENSMUSG00000038390
Lag3,5574,1.0,1.0,127.88018,52.91718335,0.130028077,1.629615538,0.08765253,1.086302999,1.653558632,,1.145840524,1.914412795,2.981682808,1.217043392,,,1.302539475,1.489201377,,2.135299061,ENSMUSG00000030124
Ptms,5575,0.106121141,0.682489602,132.35359,105.3236419,0.163159312,14.03184615,0.5391193,0.483939109,13.88715417,13.80916053,13.91190095,13.880094,14.15771297,13.99645591,14.1221247,14.11701883,14.0931968,14.17840384,14.22995222,14.10585626,ENSMUSG00000030122
Mlf2,5576,1.0,1.0,130.7568,110.2961372,0.091915607,11.92841403,0.18560284,1.237096121,11.65482525,11.73285127,12.0930615,11.96089229,11.91476992,11.99238846,11.87892981,11.84303249,11.96225438,11.99823773,12.20743002,11.92250389,ENSMUSG00000030120
Cops7a,5577,0.25391521,0.855185565,130.30077,10.3690055,0.17905585,7.924470897,0.5205961,1.394927584,8.531876526,7.876404205,7.779386247,7.743215173,7.601205929,7.875345252,7.776293107,7.970904751,7.778257201,7.826020316,7.928290116,8.21050343,ENSMUSG00000030127
Pianp,5578,1.0,1.0,128.97443,10.26345874,0.429516352,3.349334619,0.10252412,1.053537966,4.620994446,2.042558596,2.334139269,4.020841692,4.046395673,3.161595697,2.960569729,,1.67804497,5.215162367,3.216230426,4.1672302,ENSMUSG00000030329
Zfp384,5579,0.110604602,0.685796013,126.8025,26.23561763,0.416805509,6.764151865,0.5302034,0.933382099,6.787255411,7.507364928,6.667583602,6.731250243,6.906998283,6.629759672,6.403833409,5.902010487,6.633198659,6.931818527,6.621308466,6.890370945,ENSMUSG00000038346
Ing4,5580,1.0,1.0,127.784546,61.01262639,0.003594683,7.784747494,0.0997108,3.331141809,7.876047217,7.770452087,7.604633025,7.885185697,7.70024619,8.003752546,7.869921245,7.994855175,7.381359803,7.706278829,7.731221464,8.009875227,ENSMUSG00000030330
Acrbp,5581,0.336511635,0.942198488,128.5134,12.27212545,0.279675064,6.937750755,0.3564687,0.709201332,7.112174424,7.122146157,6.751169222,6.957071353,6.658732973,7.016760595,6.862120581,6.639458078,6.244087282,7.289381102,7.160144857,7.176411861,ENSMUSG00000072770
Chd4,5582,0.13380964,0.716692199,132.30525,42.11406973,0.075026866,10.94506394,0.5562011,1.176201503,11.01304966,11.02006119,10.99980127,10.94614432,11.15226477,10.8447204,10.95522239,10.84918457,10.90970395,10.98385973,10.83085989,10.82056842,ENSMUSG00000063870
Nop2,5583,0.265717527,0.865422384,130.87332,93.73111218,0.054853391,7.796517465,0.38102567,1.096700732,7.510521795,7.265549437,7.92327708,7.859608672,7.781657879,7.92337152,7.951265521,7.721035327,7.802154214,7.936580602,7.871943477,7.708196117,ENSMUSG00000038279
Iffo1,5584,1.0,1.0,126.72302,96.80925806,0.124109553,6.138806633,0.26250577,1.118703015,6.144614036,6.055604742,6.196936594,6.295519145,5.855923129,5.823681137,6.584667659,6.669530216,5.951051854,5.922246961,6.138702175,6.129215644,ENSMUSG00000038271
Gapdh,5585,1.0,1.0,130.74353,99.88069978,0.030902245,10.77243723,0.13496745,1.254945114,10.62324229,10.70299447,10.70680777,10.76283165,10.75446354,10.9343667,10.63244866,10.79565088,10.83232346,10.87005027,10.94298778,10.69625794,ENSMUSG00000057666
Ncapd2,5586,1.0,1.0,130.9266,45.84275609,0.028724777,9.96796071,0.16067383,1.09177333,10.02790372,10.05782447,10.07024486,9.833205666,9.929988654,10.01808045,9.950188822,10.19825814,9.914844249,9.86663758,9.757561713,9.991314162,ENSMUSG00000038252
Mrpl51,5587,0.206116,0.803503051,131.38998,98.2834176,0.107537774,8.65947501,0.7408564,1.311586874,8.436794936,8.610911863,8.603923125,8.711529779,8.531772281,8.706038577,8.931741613,8.681174403,8.669790847,8.845688132,8.543701725,8.735695891,ENSMUSG00000030335
Vamp1,5588,0.09394225,0.6556128,126.82668,54.49975251,0.66325947,4.691784405,0.668429,1.084616116,5.800258557,3.859864123,4.790798206,5.262645414,5.89825903,5.503901646,4.072968738,4.153744776,5.29028792,3.566085915,5.094836352,3.621868962,ENSMUSG00000030337
Tapbpl,5589,0.96491329,1.0,128.79033,125.0354666,0.121476787,3.380643534,0.30535313,5.513387516,3.08938035,3.636810459,3.473299974,2.365805982,3.504443064,3.832584368,3.621429308,3.765475299,2.779576459,3.566085915,3.368803035,3.156664819,ENSMUSG00000038213
Ltbr,5590,1.0,1.0,127.685524,36.57920815,0.149255363,6.095987751,0.13896394,1.68263576,6.030835158,6.18496197,6.140185701,5.707018513,6.776898207,6.342416733,5.494992662,5.74140402,6.244087282,5.922246961,6.54327608,5.95603512,ENSMUSG00000030339
Scnn1a,5591,1.0,1.0,128.22937,108.1641919,0.077427815,4.457110014,0.22632541,1.513434776,4.74163124,5.05473866,3.921126955,2.986230487,3.708559453,4.975816201,4.561593558,5.494992786,4.922794253,3.327209704,4.957177912,4.75569737,ENSMUSG00000030340
Tnfrsf1a,5592,0.171348431,0.77240609,129.81825,0.0,0.306401085,5.626849896,0.44886893,1.149034279,5.456863397,5.755844641,5.519534152,5.410885572,5.518659608,5.840454943,5.259789269,4.925937364,5.984854548,5.689449795,5.981890449,6.283817877,ENSMUSG00000030341
