sample,Gene,value,group,replicate
S_TP_60_REP_3,Mcmdc2,3.422700586,Somite,3
S_TP_90_REP_2,Mcmdc2,1.899743162,Somite,2
S_TP_90_REP_3,Mcmdc2,3.967426347,Somite,3
S_TP_120_REP_1,Mcmdc2,3.909905023,Somite,1
S_TP_120_REP_2,Mcmdc2,4.118849938,Somite,2
S_TP_120_REP_3,Mcmdc2,4.028224182,Somite,3
S_TP_30_REP_1,Snhg6,6.617943949,Somite,1
S_TP_30_REP_2,Snhg6,7.425117475,Somite,2
S_TP_30_REP_3,Snhg6,6.209207089,Somite,3
S_TP_60_REP_1,Snhg6,6.764084741,Somite,1
S_TP_60_REP_2,Snhg6,6.973693924,Somite,2
S_TP_60_REP_3,Snhg6,6.687851367,Somite,3
S_TP_90_REP_1,Snhg6,6.90072481,Somite,1
S_TP_90_REP_2,Snhg6,6.593971689,Somite,2
S_TP_90_REP_3,Snhg6,6.473409732,Somite,3
S_TP_120_REP_1,Snhg6,6.68267813,Somite,1
S_TP_120_REP_2,Snhg6,6.646833514,Somite,2
S_TP_120_REP_3,Snhg6,6.595826065,Somite,3
S_TP_30_REP_2,Tcf24,1.184924578,Somite,2
S_TP_30_REP_3,Tcf24,0.856763257,Somite,3
S_TP_60_REP_1,Tcf24,0.875631977,Somite,1
S_TP_60_REP_2,Tcf24,4.512243325,Somite,2
S_TP_60_REP_3,Tcf24,1.38988569,Somite,3
S_TP_90_REP_2,Tcf24,2.349705361,Somite,2
S_TP_120_REP_1,Tcf24,1.117217079,Somite,1
S_TP_120_REP_2,Tcf24,1.289690542,Somite,2
S_TP_120_REP_3,Tcf24,0.629476465,Somite,3
S_TP_30_REP_1,Cops5,8.978994276,Somite,1
S_TP_30_REP_2,Cops5,8.054691884,Somite,2
S_TP_30_REP_3,Cops5,8.929502415,Somite,3
S_TP_60_REP_1,Cops5,8.843329406,Somite,1
S_TP_60_REP_2,Cops5,8.67719313,Somite,2
S_TP_60_REP_3,Cops5,9.088613919,Somite,3
S_TP_90_REP_1,Cops5,9.00475276,Somite,1
S_TP_90_REP_2,Cops5,9.13523881,Somite,2
S_TP_90_REP_3,Cops5,9.067924302,Somite,3
S_TP_120_REP_1,Cops5,8.783488514,Somite,1
S_TP_120_REP_2,Cops5,9.079103915,Somite,2
S_TP_120_REP_3,Cops5,8.774970842,Somite,3
S_TP_30_REP_1,Cspp1,9.29254337,Somite,1
S_TP_30_REP_2,Cspp1,8.845144817,Somite,2
S_TP_30_REP_3,Cspp1,8.726271876,Somite,3
S_TP_60_REP_1,Cspp1,8.853780018,Somite,1
S_TP_60_REP_2,Cspp1,8.95603231,Somite,2
S_TP_60_REP_3,Cspp1,8.776618494,Somite,3
S_TP_90_REP_1,Cspp1,8.849502795,Somite,1
S_TP_90_REP_2,Cspp1,8.572412218,Somite,2
S_TP_90_REP_3,Cspp1,8.786282907,Somite,3
S_TP_120_REP_1,Cspp1,8.779655179,Somite,1
S_TP_120_REP_2,Cspp1,8.927539868,Somite,2
S_TP_120_REP_3,Cspp1,8.782158921,Somite,3
S_TP_30_REP_1,Arfgef1,8.893099079,Somite,1
S_TP_30_REP_2,Arfgef1,8.479567953,Somite,2
S_TP_30_REP_3,Arfgef1,8.605312817,Somite,3
